   W            M3+
 1727.0    0.000   0.000
 1728.0    0.000   0.000
 1729.0    0.000   0.000
 1730.0    0.000   0.000
 1731.0    0.000   0.000
 1732.0    0.000   0.000
 1733.0    0.000   0.000
 1734.0    0.000   0.000
 1735.0    0.000   0.000
 1736.0    0.000   0.000
 1737.0    0.000   0.000
 1738.0    0.000   0.000
 1739.0    0.000   0.000
 1740.0    0.000   0.000
 1741.0    0.000   0.000
 1742.0    0.000   0.000
 1743.0    0.000   0.000
 1744.0    0.000   0.000
 1745.0    0.000   0.000
 1746.0    0.000   0.000
 1747.0    0.000   0.000
 1748.0    0.000   0.000
 1749.0    0.000   0.000
 1750.0    0.000   0.000
 1751.0    0.000   0.000
 1752.0    0.000   0.000
 1753.0    0.000   0.000
 1754.0    0.000   0.000
 1755.0    0.000   0.000
 1756.0    0.000   0.000
 1757.0    0.000   0.000
 1758.0    0.000   0.000
 1759.0    0.000   0.000
 1760.0    0.000   0.000
 1761.0    0.000   0.000
 1762.0    0.000   0.000
 1763.0    0.000   0.000
 1764.0    0.000   0.001
 1765.0    0.000   0.001
 1766.0    0.000   0.001
 1767.0    0.000   0.001
 1768.0    0.000   0.001
 1769.0    0.000   0.001
 1770.0    0.000   0.001
 1771.0    0.000   0.001
 1772.0    0.000   0.001
 1773.0    0.000   0.001
 1774.0    0.000   0.001
 1775.0    0.000   0.001
 1776.0    0.000   0.001
 1777.0    0.000   0.001
 1778.0    0.000   0.001
 1779.0    0.000   0.001
 1780.0    0.000   0.001
 1781.0    0.000   0.001
 1782.0    0.000   0.001
 1783.0    0.000   0.001
 1784.0    0.000   0.001
 1785.0    0.000   0.001
 1786.0    0.000   0.001
 1787.0    0.000   0.001
 1788.0    0.000   0.001
 1789.0    0.000   0.001
 1790.0    0.000   0.001
 1791.0    0.000   0.001
 1792.0    0.000   0.001
 1793.0    0.000   0.001
 1794.0    0.000   0.001
 1795.0    0.000   0.001
 1796.0    0.000   0.001
 1797.0    0.000   0.001
 1798.0    0.000   0.001
 1799.0    0.000   0.001
 1800.0    0.000   0.001
 1801.0    0.000   0.001
 1802.0    0.000   0.001
 1803.0    0.000   0.001
 1804.0    0.000   0.001
 1805.0    0.000   0.001
 1806.0    0.000   0.001
 1807.0    0.000   0.001
 1808.0    0.000   0.001
 1809.0    0.000   0.001
 1810.0    0.000   0.001
 1811.0    0.000   0.001
 1812.0    0.000   0.001
 1813.0    0.000   0.001
 1814.0    0.000   0.001
 1815.0    0.000   0.001
 1816.0    0.000   0.001
 1817.0    0.000   0.001
 1818.0    0.000   0.001
 1819.0    0.000   0.001
 1820.0    0.000   0.001
 1821.0    0.000   0.001
 1822.0    0.000   0.001
 1823.0    0.000   0.001
 1824.0    0.001   0.001
 1825.0    0.001   0.001
 1826.0    0.001   0.001
 1827.0    0.001   0.001
 1828.0    0.001   0.001
 1829.0    0.001   0.001
 1830.0    0.001   0.001
 1831.0    0.001   0.001
 1832.0    0.001   0.001
 1833.0    0.001   0.001
 1834.0    0.001   0.001
 1835.0    0.001   0.001
 1836.0    0.001   0.001
 1837.0    0.001   0.001
 1838.0    0.001   0.001
 1839.0    0.001   0.001
 1840.0    0.001   0.001
 1841.0    0.001   0.001
 1842.0    0.001   0.001
 1843.0    0.001   0.001
 1844.0    0.001   0.001
 1845.0    0.001   0.001
 1846.0    0.001   0.001
 1847.0    0.001   0.001
 1848.0    0.001   0.001
 1849.0    0.001   0.001
 1850.0    0.001   0.001
 1851.0    0.001   0.001
 1852.0    0.001   0.001
 1853.0    0.001   0.001
 1854.0    0.001   0.001
 1855.0    0.001   0.001
 1856.0    0.001   0.001
 1857.0    0.001   0.001
 1858.0    0.001   0.001
 1859.0    0.001   0.001
 1860.0    0.001   0.001
 1861.0    0.001   0.001
 1862.0    0.001   0.001
 1863.0    0.001   0.001
 1864.0    0.001   0.001
 1865.0    0.001   0.001
 1866.0    0.001   0.001
 1867.0    0.001   0.001
 1868.0    0.001   0.001
 1869.0    0.001   0.001
 1870.0    0.001   0.001
 1871.0    0.001   0.001
 1872.0    0.001   0.001
 1873.0    0.001   0.001
 1874.0    0.002   0.001
 1875.0    0.002   0.001
 1876.0    0.002   0.001
 1877.0    0.002   0.001
 1878.0    0.002   0.001
 1879.0    0.002   0.001
 1880.0    0.002   0.001
 1881.0    0.002   0.001
 1882.0    0.002   0.001
 1883.0    0.002   0.001
 1884.0    0.002   0.001
 1885.0    0.002   0.001
 1886.0    0.002   0.001
 1887.0    0.002   0.001
 1888.0    0.002   0.001
 1889.0    0.002   0.001
 1890.0    0.002   0.001
 1891.0    0.002   0.001
 1892.0    0.002   0.001
 1893.0    0.002   0.001
 1894.0    0.002   0.001
 1895.0    0.002   0.001
 1896.0    0.002   0.001
 1897.0    0.002   0.001
 1898.0    0.002   0.001
 1899.0    0.002   0.001
 1900.0    0.002   0.001
 1901.0    0.002   0.001
 1902.0    0.002   0.001
 1903.0    0.002   0.001
 1904.0    0.002   0.001
 1905.0    0.002   0.001
 1906.0    0.002   0.001
 1907.0    0.002   0.001
 1908.0    0.002   0.001
 1909.0    0.002   0.001
 1910.0    0.002   0.001
 1911.0    0.002   0.001
 1912.0    0.003   0.001
 1913.0    0.003   0.001
 1914.0    0.003   0.001
 1915.0    0.003   0.001
 1916.0    0.003   0.001
 1917.0    0.003   0.001
 1918.0    0.003   0.001
 1919.0    0.003   0.001
 1920.0    0.003   0.001
 1921.0    0.003   0.001
 1922.0    0.003   0.001
 1923.0    0.003   0.001
 1924.0    0.003   0.001
 1925.0    0.003   0.001
 1926.0    0.003   0.001
 1927.0    0.003   0.001
 1928.0    0.003   0.001
 1929.0    0.003   0.001
 1930.0    0.003   0.001
 1931.0    0.003   0.001
 1932.0    0.003   0.001
 1933.0    0.003   0.001
 1934.0    0.003   0.001
 1935.0    0.003   0.001
 1936.0    0.003   0.001
 1937.0    0.003   0.001
 1938.0    0.003   0.001
 1939.0    0.003   0.001
 1940.0    0.003   0.001
 1941.0    0.003   0.001
 1942.0    0.003   0.001
 1943.0    0.003   0.001
 1944.0    0.004   0.001
 1945.0    0.004   0.001
 1946.0    0.004   0.001
 1947.0    0.004   0.001
 1948.0    0.004   0.001
 1949.0    0.004   0.001
 1950.0    0.004   0.001
 1951.0    0.004   0.001
 1952.0    0.004   0.001
 1953.0    0.004   0.002
 1954.0    0.004   0.002
 1955.0    0.004   0.002
 1956.0    0.004   0.002
 1957.0    0.004   0.002
 1958.0    0.004   0.002
 1959.0    0.004   0.002
 1960.0    0.004   0.002
 1961.0    0.004   0.002
 1962.0    0.004   0.002
 1963.0    0.004   0.002
 1964.0    0.004   0.002
 1965.0    0.004   0.002
 1966.0    0.004   0.002
 1967.0    0.004   0.002
 1968.0    0.004   0.002
 1969.0    0.004   0.002
 1970.0    0.004   0.002
 1971.0    0.004   0.002
 1972.0    0.004   0.002
 1973.0    0.005   0.002
 1974.0    0.005   0.002
 1975.0    0.005   0.002
 1976.0    0.005   0.002
 1977.0    0.005   0.002
 1978.0    0.005   0.002
 1979.0    0.005   0.002
 1980.0    0.005   0.002
 1981.0    0.005   0.002
 1982.0    0.005   0.002
 1983.0    0.005   0.002
 1984.0    0.005   0.002
 1985.0    0.005   0.002
 1986.0    0.005   0.002
 1987.0    0.005   0.002
 1988.0    0.005   0.002
 1989.0    0.005   0.002
 1990.0    0.005   0.002
 1991.0    0.005   0.002
 1992.0    0.005   0.002
 1993.0    0.005   0.002
 1994.0    0.005   0.002
 1995.0    0.005   0.002
 1996.0    0.005   0.002
 1997.0    0.005   0.002
 1998.0    0.005   0.002
 1999.0    0.005   0.002
 2000.0    0.006   0.002
 2001.0    0.006   0.002
 2002.0    0.006   0.002
 2003.0    0.006   0.002
 2004.0    0.006   0.002
 2005.0    0.006   0.002
 2006.0    0.006   0.002
 2007.0    0.006   0.002
 2008.0    0.006   0.002
 2009.0    0.006   0.002
 2010.0    0.006   0.002
 2011.0    0.006   0.002
 2012.0    0.006   0.002
 2013.0    0.006   0.002
 2014.0    0.006   0.002
 2015.0    0.006   0.002
 2016.0    0.006   0.002
 2017.0    0.006   0.002
 2018.0    0.006   0.002
 2019.0    0.006   0.002
 2020.0    0.006   0.002
 2021.0    0.006   0.002
 2022.0    0.006   0.002
 2023.0    0.006   0.002
 2024.0    0.007   0.002
 2025.0    0.007   0.002
 2026.0    0.007   0.002
 2027.0    0.007   0.002
 2028.0    0.007   0.002
 2029.0    0.007   0.002
 2030.0    0.007   0.002
 2031.0    0.007   0.002
 2032.0    0.007   0.002
 2033.0    0.007   0.002
 2034.0    0.007   0.002
 2035.0    0.007   0.002
 2036.0    0.007   0.002
 2037.0    0.007   0.002
 2038.0    0.007   0.002
 2039.0    0.007   0.002
 2040.0    0.007   0.002
 2041.0    0.007   0.002
 2042.0    0.007   0.002
 2043.0    0.007   0.002
 2044.0    0.007   0.002
 2045.0    0.007   0.002
 2046.0    0.007   0.002
 2047.0    0.007   0.002
 2048.0    0.008   0.002
 2049.0    0.008   0.002
 2050.0    0.008   0.002
 2051.0    0.008   0.002
 2052.0    0.008   0.002
 2053.0    0.008   0.002
 2054.0    0.008   0.002
 2055.0    0.008   0.002
 2056.0    0.008   0.002
 2057.0    0.008   0.002
 2058.0    0.008   0.002
 2059.0    0.008   0.002
 2060.0    0.008   0.002
 2061.0    0.008   0.002
 2062.0    0.008   0.002
 2063.0    0.008   0.002
 2064.0    0.008   0.002
 2065.0    0.008   0.002
 2066.0    0.008   0.002
 2067.0    0.008   0.002
 2068.0    0.008   0.002
 2069.0    0.008   0.002
 2070.0    0.009   0.002
 2071.0    0.009   0.002
 2072.0    0.009   0.002
 2073.0    0.009   0.002
 2074.0    0.009   0.002
 2075.0    0.009   0.002
 2076.0    0.009   0.002
 2077.0    0.009   0.002
 2078.0    0.009   0.002
 2079.0    0.009   0.002
 2080.0    0.009   0.002
 2081.0    0.009   0.002
 2082.0    0.009   0.002
 2083.0    0.009   0.002
 2084.0    0.009   0.002
 2085.0    0.009   0.002
 2086.0    0.009   0.002
 2087.0    0.009   0.002
 2088.0    0.009   0.002
 2089.0    0.009   0.002
 2090.0    0.009   0.002
 2091.0    0.009   0.002
 2092.0    0.010   0.002
 2093.0    0.010   0.002
 2094.0    0.010   0.002
 2095.0    0.010   0.002
 2096.0    0.010   0.002
 2097.0    0.010   0.002
 2098.0    0.010   0.002
 2099.0    0.010   0.002
 2100.0    0.010   0.002
 2101.0    0.010   0.002
 2102.0    0.010   0.002
 2103.0    0.010   0.002
 2104.0    0.010   0.002
 2105.0    0.010   0.002
 2106.0    0.010   0.002
 2107.0    0.010   0.002
 2108.0    0.010   0.002
 2109.0    0.010   0.002
 2110.0    0.010   0.002
 2111.0    0.010   0.002
 2112.0    0.010   0.002
 2113.0    0.011   0.002
 2114.0    0.011   0.002
 2115.0    0.011   0.002
 2116.0    0.011   0.002
 2117.0    0.011   0.002
 2118.0    0.011   0.002
 2119.0    0.011   0.002
 2120.0    0.011   0.002
 2121.0    0.011   0.002
 2122.0    0.011   0.002
 2123.0    0.011   0.002
 2124.0    0.011   0.002
 2125.0    0.011   0.002
 2126.0    0.011   0.002
 2127.0    0.011   0.002
 2128.0    0.011   0.002
 2129.0    0.011   0.002
 2130.0    0.011   0.002
 2131.0    0.011   0.002
 2132.0    0.011   0.002
 2133.0    0.012   0.002
 2134.0    0.012   0.002
 2135.0    0.012   0.002
 2136.0    0.012   0.002
 2137.0    0.012   0.002
 2138.0    0.012   0.002
 2139.0    0.012   0.003
 2140.0    0.012   0.003
 2141.0    0.012   0.003
 2142.0    0.012   0.003
 2143.0    0.012   0.003
 2144.0    0.012   0.003
 2145.0    0.012   0.003
 2146.0    0.012   0.003
 2147.0    0.012   0.003
 2148.0    0.012   0.003
 2149.0    0.012   0.003
 2150.0    0.012   0.003
 2151.0    0.012   0.003
 2152.0    0.013   0.003
 2153.0    0.013   0.003
 2154.0    0.013   0.003
 2155.0    0.013   0.003
 2156.0    0.013   0.003
 2157.0    0.013   0.003
 2158.0    0.013   0.003
 2159.0    0.013   0.003
 2160.0    0.013   0.003
 2161.0    0.013   0.003
 2162.0    0.013   0.003
 2163.0    0.013   0.003
 2164.0    0.013   0.003
 2165.0    0.013   0.003
 2166.0    0.013   0.003
 2167.0    0.013   0.003
 2168.0    0.013   0.003
 2169.0    0.013   0.003
 2170.0    0.013   0.003
 2171.0    0.013   0.003
 2172.0    0.014   0.003
 2173.0    0.014   0.003
 2174.0    0.014   0.003
 2175.0    0.014   0.003
 2176.0    0.014   0.003
 2177.0    0.014   0.003
 2178.0    0.014   0.003
 2179.0    0.014   0.003
 2180.0    0.014   0.003
 2181.0    0.014   0.003
 2182.0    0.014   0.003
 2183.0    0.014   0.003
 2184.0    0.014   0.003
 2185.0    0.014   0.003
 2186.0    0.014   0.003
 2187.0    0.014   0.003
 2188.0    0.014   0.003
 2189.0    0.014   0.003
 2190.0    0.014   0.003
 2191.0    0.015   0.003
 2192.0    0.015   0.003
 2193.0    0.015   0.003
 2194.0    0.015   0.003
 2195.0    0.015   0.003
 2196.0    0.015   0.003
 2197.0    0.015   0.003
 2198.0    0.015   0.003
 2199.0    0.015   0.003
 2200.0    0.015   0.003
 2201.0    0.015   0.003
 2202.0    0.015   0.003
 2203.0    0.015   0.003
 2204.0    0.015   0.003
 2205.0    0.015   0.003
 2206.0    0.015   0.003
 2207.0    0.015   0.003
 2208.0    0.015   0.003
 2209.0    0.016   0.003
 2210.0    0.016   0.003
 2211.0    0.016   0.003
 2212.0    0.016   0.003
 2213.0    0.016   0.003
 2214.0    0.016   0.003
 2215.0    0.016   0.003
 2216.0    0.016   0.003
 2217.0    0.016   0.003
 2218.0    0.016   0.003
 2219.0    0.016   0.003
 2220.0    0.016   0.003
 2221.0    0.016   0.003
 2222.0    0.016   0.003
 2223.0    0.016   0.003
 2224.0    0.016   0.003
 2225.0    0.016   0.003
 2226.0    0.016   0.003
 2227.0    0.017   0.003
 2228.0    0.017   0.003
 2229.0    0.017   0.003
 2230.0    0.017   0.003
 2231.0    0.017   0.003
 2232.0    0.017   0.003
 2233.0    0.017   0.003
 2234.0    0.017   0.003
 2235.0    0.017   0.003
 2236.0    0.017   0.003
 2237.0    0.017   0.003
 2238.0    0.017   0.003
 2239.0    0.017   0.003
 2240.0    0.017   0.003
 2241.0    0.017   0.003
 2242.0    0.017   0.003
 2243.0    0.017   0.003
 2244.0    0.017   0.003
 2245.0    0.018   0.003
 2246.0    0.018   0.003
 2247.0    0.018   0.003
 2248.0    0.018   0.003
 2249.0    0.018   0.003
 2250.0    0.018   0.003
 2251.0    0.018   0.003
 2252.0    0.018   0.003
 2253.0    0.018   0.003
 2254.0    0.018   0.003
 2255.0    0.018   0.003
 2256.0    0.018   0.003
 2257.0    0.018   0.003
 2258.0    0.018   0.003
 2259.0    0.018   0.003
 2260.0    0.018   0.003
 2261.0    0.018   0.003
 2262.0    0.018   0.003
 2263.0    0.019   0.003
 2264.0    0.019   0.003
 2265.0    0.019   0.003
 2266.0    0.019   0.003
 2267.0    0.019   0.003
 2268.0    0.019   0.003
 2269.0    0.019   0.003
 2270.0    0.019   0.003
 2271.0    0.019   0.003
 2272.0    0.019   0.003
 2273.0    0.019   0.003
 2274.0    0.019   0.003
 2275.0    0.019   0.003
 2276.0    0.019   0.003
 2277.0    0.019   0.003
 2278.0    0.019   0.003
 2279.0    0.019   0.003
 2280.0    0.019   0.003
 2281.0    0.020   0.003
 2282.0    0.020   0.003
 2283.0    0.020   0.003
 2284.0    0.020   0.003
 2285.0    0.020   0.003
 2286.0    0.020   0.003
 2287.0    0.020   0.003
 2288.0    0.020   0.003
 2289.0    0.020   0.003
 2290.0    0.020   0.003
 2291.0    0.020   0.003
 2292.0    0.020   0.003
 2293.0    0.020   0.003
 2294.0    0.020   0.003
 2295.0    0.020   0.003
 2296.0    0.020   0.003
 2297.0    0.020   0.003
 2298.0    0.021   0.003
 2299.0    0.021   0.003
