   W         M4+(eta_p)
 (MeV)      Re         Im
 1486.0    0.000001   0.000003
 1487.0    0.000000   0.000002
 1488.0    0.000000   0.000001
 1489.0   -0.000000  -0.000000
 1490.0   -0.000000  -0.000002
 1491.0   -0.000001  -0.000003
 1492.0   -0.000001  -0.000004
 1493.0   -0.000001  -0.000005
 1494.0   -0.000002  -0.000006
 1495.0   -0.000002  -0.000008
 1496.0   -0.000003  -0.000009
 1497.0   -0.000003  -0.000011
 1498.0   -0.000004  -0.000013
 1499.0   -0.000005  -0.000015
 1500.0   -0.000006  -0.000017
 1501.0   -0.000006  -0.000020
 1502.0   -0.000006  -0.000024
 1503.0   -0.000007  -0.000027
 1504.0   -0.000007  -0.000031
 1505.0   -0.000007  -0.000034
 1506.0   -0.000008  -0.000038
 1507.0   -0.000009  -0.000043
 1508.0   -0.000010  -0.000047
 1509.0   -0.000010  -0.000051
 1510.0   -0.000011  -0.000055
 1511.0   -0.000012  -0.000060
 1512.0   -0.000014  -0.000066
 1513.0   -0.000015  -0.000071
 1514.0   -0.000016  -0.000076
 1515.0   -0.000017  -0.000081
 1516.0   -0.000018  -0.000088
 1517.0   -0.000019  -0.000094
 1518.0   -0.000020  -0.000101
 1519.0   -0.000021  -0.000107
 1520.0   -0.000022  -0.000114
 1521.0   -0.000023  -0.000121
 1522.0   -0.000025  -0.000129
 1523.0   -0.000026  -0.000137
 1524.0   -0.000027  -0.000144
 1525.0   -0.000028  -0.000152
 1526.0   -0.000030  -0.000161
 1527.0   -0.000031  -0.000170
 1528.0   -0.000032  -0.000179
 1529.0   -0.000034  -0.000188
 1530.0   -0.000035  -0.000197
 1531.0   -0.000036  -0.000208
 1532.0   -0.000038  -0.000218
 1533.0   -0.000039  -0.000228
 1534.0   -0.000041  -0.000239
 1535.0   -0.000042  -0.000249
 1536.0   -0.000044  -0.000261
 1537.0   -0.000045  -0.000272
 1538.0   -0.000046  -0.000284
 1539.0   -0.000048  -0.000296
 1540.0   -0.000049  -0.000308
 1541.0   -0.000051  -0.000321
 1542.0   -0.000052  -0.000334
 1543.0   -0.000053  -0.000347
 1544.0   -0.000055  -0.000361
 1545.0   -0.000056  -0.000374
 1546.0   -0.000058  -0.000388
 1547.0   -0.000059  -0.000403
 1548.0   -0.000061  -0.000418
 1549.0   -0.000062  -0.000432
 1550.0   -0.000064  -0.000447
 1551.0   -0.000065  -0.000463
 1552.0   -0.000066  -0.000479
 1553.0   -0.000068  -0.000496
 1554.0   -0.000069  -0.000512
 1555.0   -0.000070  -0.000528
 1556.0   -0.000071  -0.000546
 1557.0   -0.000072  -0.000564
 1558.0   -0.000074  -0.000582
 1559.0   -0.000075  -0.000600
 1560.0   -0.000076  -0.000618
 1561.0   -0.000077  -0.000637
 1562.0   -0.000078  -0.000657
 1563.0   -0.000079  -0.000677
 1564.0   -0.000080  -0.000696
 1565.0   -0.000081  -0.000716
 1566.0   -0.000082  -0.000737
 1567.0   -0.000083  -0.000758
 1568.0   -0.000083  -0.000779
 1569.0   -0.000084  -0.000801
 1570.0   -0.000085  -0.000822
 1571.0   -0.000085  -0.000845
 1572.0   -0.000086  -0.000868
 1573.0   -0.000086  -0.000891
 1574.0   -0.000087  -0.000914
 1575.0   -0.000087  -0.000937
 1576.0   -0.000088  -0.000961
 1577.0   -0.000089  -0.000986
 1578.0   -0.000089  -0.001010
 1579.0   -0.000090  -0.001034
 1580.0   -0.000091  -0.001058
 1581.0   -0.000090  -0.001085
 1582.0   -0.000090  -0.001112
 1583.0   -0.000089  -0.001139
