   W         M5+(eta_p)
 (MeV)      Re         Im
 1486.0    0.000000   0.000000
 1487.0    0.000000   0.000000
 1488.0    0.000000   0.000000
 1489.0    0.000000   0.000000
 1490.0   -0.000000  -0.000000
 1491.0   -0.000000  -0.000000
 1492.0   -0.000000  -0.000000
 1493.0   -0.000000  -0.000000
 1494.0   -0.000000  -0.000000
 1495.0   -0.000000  -0.000000
 1496.0   -0.000000  -0.000001
 1497.0    0.000000  -0.000001
 1498.0    0.000000  -0.000001
 1499.0    0.000000  -0.000001
 1500.0    0.000000  -0.000002
 1501.0    0.000000  -0.000002
 1502.0   -0.000000  -0.000002
 1503.0   -0.000001  -0.000002
 1504.0   -0.000001  -0.000001
 1505.0   -0.000001  -0.000001
 1506.0   -0.000002  -0.000002
 1507.0   -0.000002  -0.000002
 1508.0   -0.000002  -0.000002
 1509.0   -0.000002  -0.000003
 1510.0   -0.000002  -0.000003
 1511.0   -0.000002  -0.000003
 1512.0   -0.000002  -0.000004
 1513.0   -0.000003  -0.000004
 1514.0   -0.000003  -0.000005
 1515.0   -0.000003  -0.000005
 1516.0   -0.000003  -0.000006
 1517.0   -0.000003  -0.000006
 1518.0   -0.000004  -0.000007
 1519.0   -0.000004  -0.000008
 1520.0   -0.000004  -0.000008
 1521.0   -0.000004  -0.000009
 1522.0   -0.000005  -0.000009
 1523.0   -0.000005  -0.000010
 1524.0   -0.000005  -0.000011
 1525.0   -0.000006  -0.000011
 1526.0   -0.000006  -0.000012
 1527.0   -0.000006  -0.000013
 1528.0   -0.000007  -0.000014
 1529.0   -0.000007  -0.000015
 1530.0   -0.000007  -0.000016
 1531.0   -0.000008  -0.000017
 1532.0   -0.000008  -0.000018
 1533.0   -0.000009  -0.000019
 1534.0   -0.000009  -0.000020
 1535.0   -0.000010  -0.000021
 1536.0   -0.000010  -0.000023
 1537.0   -0.000011  -0.000024
 1538.0   -0.000012  -0.000025
 1539.0   -0.000012  -0.000026
 1540.0   -0.000013  -0.000027
 1541.0   -0.000013  -0.000029
 1542.0   -0.000014  -0.000030
 1543.0   -0.000015  -0.000032
 1544.0   -0.000015  -0.000033
 1545.0   -0.000016  -0.000035
 1546.0   -0.000017  -0.000036
 1547.0   -0.000017  -0.000038
 1548.0   -0.000018  -0.000040
 1549.0   -0.000018  -0.000042
 1550.0   -0.000019  -0.000044
 1551.0   -0.000020  -0.000046
 1552.0   -0.000021  -0.000047
 1553.0   -0.000021  -0.000049
 1554.0   -0.000022  -0.000051
 1555.0   -0.000023  -0.000053
 1556.0   -0.000024  -0.000055
 1557.0   -0.000025  -0.000058
 1558.0   -0.000026  -0.000060
 1559.0   -0.000027  -0.000062
 1560.0   -0.000028  -0.000064
 1561.0   -0.000029  -0.000067
 1562.0   -0.000030  -0.000069
 1563.0   -0.000031  -0.000072
 1564.0   -0.000032  -0.000074
 1565.0   -0.000033  -0.000077
 1566.0   -0.000034  -0.000079
 1567.0   -0.000035  -0.000082
 1568.0   -0.000036  -0.000085
 1569.0   -0.000037  -0.000088
 1570.0   -0.000038  -0.000090
 1571.0   -0.000039  -0.000094
 1572.0   -0.000040  -0.000097
 1573.0   -0.000042  -0.000100
 1574.0   -0.000043  -0.000103
 1575.0   -0.000044  -0.000106
 1576.0   -0.000045  -0.000109
 1577.0   -0.000046  -0.000113
 1578.0   -0.000047  -0.000116
 1579.0   -0.000049  -0.000120
 1580.0   -0.000050  -0.000123
 1581.0   -0.000051  -0.000127
 1582.0   -0.000053  -0.000131
 1583.0   -0.000054  -0.000135
 1584.0   -0.000055  -0.000138
 1585.0   -0.000057  -0.000142
 1586.0   -0.000058  -0.000146
 1587.0   -0.000060  -0.000150
 1588.0   -0.000061  -0.000155
 1589.0   -0.000063  -0.000159
 1590.0   -0.000064  -0.000163
 1591.0   -0.000066  -0.000168
 1592.0   -0.000067  -0.000172
