   W         E4+(eta_p)
 (MeV)      Re         Im
 1486.0   -0.000000   0.000000
 1487.0   -0.000000   0.000000
 1488.0   -0.000000   0.000000
 1489.0    0.000000  -0.000000
 1490.0    0.000000  -0.000000
 1491.0    0.000000  -0.000000
 1492.0    0.000000  -0.000000
 1493.0    0.000000  -0.000000
 1494.0    0.000000  -0.000000
 1495.0    0.000000  -0.000000
 1496.0    0.000000  -0.000000
 1497.0    0.000000   0.000000
 1498.0    0.000000   0.000000
 1499.0   -0.000000   0.000000
 1500.0   -0.000000   0.000001
 1501.0    0.000000   0.000000
 1502.0    0.000001  -0.000000
 1503.0    0.000001  -0.000001
 1504.0    0.000002  -0.000001
 1505.0    0.000002  -0.000001
 1506.0    0.000002  -0.000002
 1507.0    0.000003  -0.000002
 1508.0    0.000003  -0.000002
 1509.0    0.000003  -0.000002
 1510.0    0.000003  -0.000002
 1511.0    0.000003  -0.000002
 1512.0    0.000004  -0.000002
 1513.0    0.000004  -0.000002
 1514.0    0.000004  -0.000002
 1515.0    0.000004  -0.000002
 1516.0    0.000004  -0.000003
 1517.0    0.000005  -0.000003
 1518.0    0.000005  -0.000003
 1519.0    0.000005  -0.000003
 1520.0    0.000006  -0.000003
 1521.0    0.000006  -0.000004
 1522.0    0.000007  -0.000004
 1523.0    0.000007  -0.000004
 1524.0    0.000007  -0.000004
 1525.0    0.000008  -0.000004
 1526.0    0.000008  -0.000004
 1527.0    0.000008  -0.000005
 1528.0    0.000009  -0.000005
 1529.0    0.000009  -0.000005
 1530.0    0.000009  -0.000005
 1531.0    0.000010  -0.000005
 1532.0    0.000010  -0.000005
 1533.0    0.000011  -0.000006
 1534.0    0.000011  -0.000006
 1535.0    0.000012  -0.000006
 1536.0    0.000013  -0.000006
 1537.0    0.000013  -0.000007
 1538.0    0.000014  -0.000007
 1539.0    0.000014  -0.000007
 1540.0    0.000015  -0.000007
 1541.0    0.000015  -0.000008
 1542.0    0.000016  -0.000008
 1543.0    0.000017  -0.000008
 1544.0    0.000017  -0.000008
 1545.0    0.000018  -0.000009
 1546.0    0.000018  -0.000009
 1547.0    0.000019  -0.000009
 1548.0    0.000019  -0.000009
 1549.0    0.000020  -0.000009
 1550.0    0.000020  -0.000009
 1551.0    0.000021  -0.000009
 1552.0    0.000022  -0.000010
 1553.0    0.000023  -0.000010
 1554.0    0.000024  -0.000010
 1555.0    0.000024  -0.000011
 1556.0    0.000025  -0.000011
 1557.0    0.000026  -0.000011
 1558.0    0.000027  -0.000011
 1559.0    0.000028  -0.000012
 1560.0    0.000028  -0.000012
 1561.0    0.000029  -0.000012
 1562.0    0.000030  -0.000013
 1563.0    0.000031  -0.000013
 1564.0    0.000032  -0.000013
 1565.0    0.000033  -0.000013
 1566.0    0.000034  -0.000014
 1567.0    0.000035  -0.000014
 1568.0    0.000035  -0.000014
 1569.0    0.000036  -0.000014
 1570.0    0.000037  -0.000015
 1571.0    0.000038  -0.000015
 1572.0    0.000039  -0.000015
 1573.0    0.000040  -0.000015
 1574.0    0.000041  -0.000016
 1575.0    0.000042  -0.000016
 1576.0    0.000043  -0.000016
 1577.0    0.000044  -0.000016
 1578.0    0.000045  -0.000016
 1579.0    0.000046  -0.000016
 1580.0    0.000047  -0.000016
 1581.0    0.000048  -0.000016
 1582.0    0.000049  -0.000017
 1583.0    0.000050  -0.000017
 1584.0    0.000052  -0.000017
 1585.0    0.000053  -0.000018
 1586.0    0.000054  -0.000018
 1587.0    0.000055  -0.000018
 1588.0    0.000056  -0.000018
 1589.0    0.000058  -0.000019
 1590.0    0.000059  -0.000019
 1591.0    0.000060  -0.000019
 1592.0    0.000061  -0.000019
 1593.0    0.000063  -0.000019
 1594.0    0.000064  -0.000019
 1595.0    0.000065  -0.000020
 1596.0    0.000066  -0.000020
 1597.0    0.000068  -0.000020
 1598.0    0.000069  -0.000020
