   W         E4-(eta_p)
 (MeV)      Re         Im
 1486.0   -0.000001  -0.000000
 1487.0   -0.000001  -0.000000
 1488.0   -0.000000  -0.000000
 1489.0    0.000000   0.000000
 1490.0    0.000001   0.000000
 1491.0    0.000001   0.000000
 1492.0    0.000002   0.000000
 1493.0    0.000002   0.000001
 1494.0    0.000002   0.000001
 1495.0    0.000003   0.000001
 1496.0    0.000003   0.000001
 1497.0    0.000004   0.000002
 1498.0    0.000004   0.000002
 1499.0    0.000005   0.000003
 1500.0    0.000005   0.000003
 1501.0    0.000007   0.000003
 1502.0    0.000008   0.000003
 1503.0    0.000009   0.000003
 1504.0    0.000011   0.000003
 1505.0    0.000012   0.000003
 1506.0    0.000014   0.000003
 1507.0    0.000015   0.000004
 1508.0    0.000016   0.000004
 1509.0    0.000018   0.000004
 1510.0    0.000019   0.000004
 1511.0    0.000021   0.000005
 1512.0    0.000022   0.000006
 1513.0    0.000023   0.000006
 1514.0    0.000025   0.000007
 1515.0    0.000026   0.000007
 1516.0    0.000028   0.000008
 1517.0    0.000030   0.000008
 1518.0    0.000032   0.000009
 1519.0    0.000034   0.000009
 1520.0    0.000036   0.000009
 1521.0    0.000038   0.000010
 1522.0    0.000040   0.000010
 1523.0    0.000042   0.000011
 1524.0    0.000045   0.000012
 1525.0    0.000047   0.000012
 1526.0    0.000049   0.000013
 1527.0    0.000051   0.000013
 1528.0    0.000054   0.000014
 1529.0    0.000056   0.000014
 1530.0    0.000059   0.000015
 1531.0    0.000061   0.000016
 1532.0    0.000064   0.000016
 1533.0    0.000066   0.000017
 1534.0    0.000069   0.000018
 1535.0    0.000072   0.000018
 1536.0    0.000074   0.000019
 1537.0    0.000077   0.000020
 1538.0    0.000080   0.000020
 1539.0    0.000083   0.000021
 1540.0    0.000086   0.000022
 1541.0    0.000089   0.000022
 1542.0    0.000092   0.000023
 1543.0    0.000095   0.000024
 1544.0    0.000098   0.000025
 1545.0    0.000101   0.000025
 1546.0    0.000105   0.000026
 1547.0    0.000108   0.000027
 1548.0    0.000111   0.000028
 1549.0    0.000114   0.000029
 1550.0    0.000118   0.000030
 1551.0    0.000121   0.000030
 1552.0    0.000125   0.000031
 1553.0    0.000128   0.000032
 1554.0    0.000132   0.000033
 1555.0    0.000136   0.000033
 1556.0    0.000139   0.000034
 1557.0    0.000143   0.000035
 1558.0    0.000147   0.000036
 1559.0    0.000151   0.000037
 1560.0    0.000154   0.000038
 1561.0    0.000158   0.000039
 1562.0    0.000162   0.000039
 1563.0    0.000166   0.000040
 1564.0    0.000170   0.000041
 1565.0    0.000175   0.000042
 1566.0    0.000179   0.000043
 1567.0    0.000183   0.000044
 1568.0    0.000187   0.000045
 1569.0    0.000191   0.000046
 1570.0    0.000196   0.000047
 1571.0    0.000200   0.000048
 1572.0    0.000205   0.000049
 1573.0    0.000209   0.000050
 1574.0    0.000214   0.000050
 1575.0    0.000218   0.000051
 1576.0    0.000223   0.000053
 1577.0    0.000227   0.000054
 1578.0    0.000231   0.000056
 1579.0    0.000236   0.000057
 1580.0    0.000240   0.000058
 1581.0    0.000245   0.000059
 1582.0    0.000250   0.000060
 1583.0    0.000255   0.000061
 1584.0    0.000261   0.000062
 1585.0    0.000266   0.000062
 1586.0    0.000271   0.000064
 1587.0    0.000276   0.000065
 1588.0    0.000281   0.000066
 1589.0    0.000286   0.000067
 1590.0    0.000292   0.000068
 1591.0    0.000297   0.000069
 1592.0    0.000302   0.000071
 1593.0    0.000308   0.000072
 1594.0    0.000313   0.000073
 1595.0    0.000319   0.000074
 1596.0    0.000324   0.000076
 1597.0    0.000330   0.000077
 1598.0    0.000335   0.000078
 1599.0    0.000341   0.000080
 1600.0    0.000347   0.000081
 1601.0    0.000353   0.000082
 1602.0    0.000358   0.000084
 1603.0    0.000364   0.000085
 1604.0    0.000370   0.000087
 1605.0    0.000376   0.000088
 1606.0    0.000382   0.000090
 1607.0    0.000388   0.000091
 1608.0    0.000394   0.000093
 1609.0    0.000400   0.000094
 1610.0    0.000407   0.000096
 1611.0    0.000413   0.000097
 1612.0    0.000419   0.000099
 1613.0    0.000426   0.000101
 1614.0    0.000432   0.000102
 1615.0    0.000438   0.000104
 1616.0    0.000445   0.000106
 1617.0    0.000452   0.000108
 1618.0    0.000458   0.000110
 1619.0    0.000465   0.000111
 1620.0    0.000471   0.000113
 1621.0    0.000478   0.000115
 1622.0    0.000485   0.000117
 1623.0    0.000492   0.000119
 1624.0    0.000499   0.000121
 1625.0    0.000506   0.000123
 1626.0    0.000512   0.000126
 1627.0    0.000519   0.000129
 1628.0    0.000525   0.000131
 1629.0    0.000532   0.000134
 1630.0    0.000539   0.000137
 1631.0    0.000546   0.000139
 1632.0    0.000554   0.000141
